title,authors,journal,year,doi,pubmed_id,ifc_url,has_abstract,text_length,index,umap_x,umap_y,id
The taxonomy of the model filamentous fungus Podospora anserina,"Ament-Velásquez, S. L., Johannesson, H., Giraud, T., Debuchy, R., Saupe, S. J., Debets, A. J. M., ? Vogan, A. A.","MycoKeys, 75, 51?69",2020,10.3897/mycokeys.75.55968,33281477,https://www.ifc.unam.mx/publicacion.php?ut=000594507500001,True,1290,10,0.9324573,3.751829,pub_10_3b55dac3
Antimicrobial Peptide against Mycobacterium Tuberculosis That Activates Autophagy Is an Effective Treatment for Tuberculosis,"Peláez Coyotl, E. A., Barrios Palacios, J., Muciño, G., Moreno-Blas, D., Costas, M., Montiel Montes, T., ? Del Rio, G.","Pharmaceutics, 12(11), 1071",2020,10.3390/pharmaceutics12111071,33182483,https://www.ifc.unam.mx/publicacion.php?ut=000593804100001,True,1407,11,2.517112,0.9294209,pub_11_e0597be4
FMR1 loss in a human stem cell model reveals early changes to intrinsic membrane excitability,"Susco, S. G., Arias-García, M. A., López-Huerta, V. G., Beccard, A., Bara, A. M., Moffitt, J., ? Barrett, L. E.","Developmental Biology, 468(1-2), 93?100",2020,10.1016/j.ydbio.2020.09.012,32976839,https://www.ifc.unam.mx/publicacion.php?ut=000591455800009,True,1835,12,6.409432,2.6896923,pub_12_ebc81c42
A tale of two leeches: Toward the understanding of the evolution and development of behavioral neural circuits,"Kuo, D., De?Miguel, F. F., Heath?Heckman, E. A. C., Szczupak, L., Todd, K., Weisblat, D. A., & Winchell, C. J.","Evolution & Development, 22(6), 471?493",2020,10.1111/ede.12358,33226195,https://www.ifc.unam.mx/publicacion.php?ut=000591375200001,True,1386,13,8.220229,2.0096998,pub_13_b8d5b79f
NMDAR in cultured astrocytes: Flux?independent pH sensor and flux?dependent regulator of mitochondria and plasma membrane?mitochondria bridging,"Montes de Oca Balderas, P., Matus Núñez, M., Picones, A., & Hernández?Cruz, A.","The FASEB Journal, 34(12), 16622?16644",2020,10.1096/fj.202001300r,33131132,https://www.ifc.unam.mx/publicacion.php?ut=000586601800001,True,1749,14,5.471772,3.4397883,pub_14_3df28153
Reversible interruption of ER Ca2+ uptake inversely affects ACh-elicited exocytosis in mouse and bovine chromaffin cells,"Hernández-Cruz, A.","Pflügers Archiv - European Journal of Physiology, 473(2), 133?134",2020,10.1007/s00424-020-02485-z,33108515,https://www.ifc.unam.mx/publicacion.php?ut=000584553200002,True,146,15,4.3516264,4.883908,pub_15_bbad2cd9
"Lamin B receptor: role on chromatin structure, cellular senescence and possibly aging","Castro-Obregón, S.","Biochemical Journal, 477(14), 2715?2720",2020,10.1042/bcj20200165,32726434,https://www.ifc.unam.mx/publicacion.php?ut=000582928800007,True,1881,16,4.04961,2.7243397,pub_16_180d0dd2
Mechanisms of stimulatory effects of mecamylamine on the dorsal raphe neurons,"Hernández-González, O., Mondragón-García, A., Hernández-López, S., Castillo-Rolon, D. E., Arenas-López, G., Tapia, D., & Mihailescu, S.","Brain Research Bulletin, 164, 289?298",2020,10.1016/j.brainresbull.2020.08.031,32910991,https://www.ifc.unam.mx/publicacion.php?ut=000582395500027,True,1993,17,7.445375,2.5332534,pub_17_0a817456
Relevant Features of Polypharmacologic Human-Target Antimicrobials Discovered by Machine-Learning Techniques,"Nava Lara, R. A., Beltrán, J. A., Brizuela, C. A., & Del Rio, G.","Pharmaceuticals, 13(9), 204",2020,10.3390/ph13090204,32825532,https://www.ifc.unam.mx/publicacion.php?ut=000580710300001,True,1351,18,2.167099,1.1534455,pub_18_71f5391c
Low-dimensional dynamics for working memory and time encoding,"Cueva, C. J., Saez, A., Marcos, E., Genovesio, A., Jazayeri, M., Romo, R., ? Fusi, S.","Proceedings of the National Academy of Sciences, 117(37), 23021?23032",2020,10.1073/pnas.1915984117,32859756,https://www.ifc.unam.mx/publicacion.php?ut=000580028100061,True,1405,19,8.207523,1.8952757,pub_19_3b3e3ec4
Sexual dimorphism in insulin resistance in a metabolic syndrome rat model,"Velasco, M., Ortiz-Huidobro, R. I., Larqué, C., Sánchez-Zamora, Y. I., Romo-Yáñez, J., & Hiriart, M.","Endocrine Connections, 9(9), 890?902",2020,10.1530/ec-20-0288,33069157,https://www.ifc.unam.mx/publicacion.php?ut=000579497900005,True,269,20,6.652864,4.8886886,pub_20_670b557e
Effects of agonists and phorbol esters on ?1A-adrenergic receptor-Rab protein interactions,"de-los-Santos-Cocotle, G., Martínez-Morales, J. C., Romero-Ávila, M. T., Reyes-Cruz, G., & García-Sáinz, J. A.","European Journal of Pharmacology, 885, 173423",2020,10.1016/j.ejphar.2020.173423,32750368,https://www.ifc.unam.mx/publicacion.php?ut=000579435400002,True,1834,21,5.093367,5.2882533,pub_21_7f66c781
Thrombin-activated PAR1 membrane expression is regulated by Rab11a-RCP complex dissociation,"Alvarez-Arce, A., Lee-Rivera, I., López, E., & López-Colomé, A. M.","Cellular Signalling, 75, 109748",2020,10.1016/j.cellsig.2020.109748,32860953,https://www.ifc.unam.mx/publicacion.php?ut=000579003700006,True,920,22,5.2074065,5.110243,pub_22_070e1dc1
"Selection of a Single Domain Antibody, Specific for an HLA-Bound Epitope of the Mycobacterial Ag85B Antigen","Ortega, P. A., Silva-Miranda, M., Torres-Larios, A., Campos-Chávez, E., Franken, K. C. L. C. M., Ottenhoff, T. H. M., ? Espitia, C.","Frontiers in Immunology, 11",2020,10.3389/fimmu.2020.577815,33117380,https://www.ifc.unam.mx/publicacion.php?ut=000577734100001,True,133,23,2.7219658,0.6738285,pub_23_8f57fa8c
"Modeling the neuromuscular junction
            in vitro
           ?: an approach to study neuromuscular junction disorders","Castellanos?Montiel, M. J., Velasco, I., & Escobedo?Avila, I.","Annals of the New York Academy of Sciences, 1488(1), 3?15",2020,10.1111/nyas.14504,33040338,https://www.ifc.unam.mx/publicacion.php?ut=000576571200001,True,1512,24,6.4130316,1.7455846,pub_24_e0f0126a
Heterochromatin as an Important Driver of Genome Organization,"Penagos-Puig, A., & Furlan-Magaril, M.","Frontiers in Cell and Developmental Biology, 8",2020,10.3389/fcell.2020.579137,33072761,https://www.ifc.unam.mx/publicacion.php?ut=000576467500001,True,840,25,3.6830285,2.6143146,pub_25_579da3df
Spontaneous Activity of Neuronal Ensembles in Mouse Motor Cortex: Changes after GABAergic Blockade,"Serrano-Reyes, M., García-Vilchis, B., Reyes-Chapero, R., Cáceres-Chávez, V. A., Tapia, D., Galarraga, E., & Bargas, J.","Neuroscience, 446, 304?322",2020,10.1016/j.neuroscience.2020.08.025,32860933,https://www.ifc.unam.mx/publicacion.php?ut=000575796800011,True,1956,26,7.8203726,1.9090539,pub_26_f72dbbb1
Effect of ?-Hydroxybutyrate on Autophagy Dynamics During Severe Hypoglycemia and the Hypoglycemic Coma,"Torres-Esquivel, C., Montiel, T., Flores-Méndez, M., & Massieu, L.","Frontiers in Cellular Neuroscience, 14",2020,10.3389/fncel.2020.547215,33173467,https://www.ifc.unam.mx/publicacion.php?ut=000575495800001,True,128,27,5.3355837,3.8887212,pub_27_aa50d391
TUG is a calpain-10 substrate involved in the translocation of GLUT4 in adipocytes,"Pánico, P., Hiriart, M., Ostrosky-Wegman, P., & Salazar, A. M.","Journal of Molecular Endocrinology, 65(3), 45?57",2020,10.1530/jme-19-0253,32698137,https://www.ifc.unam.mx/publicacion.php?ut=000574794100002,True,1581,28,6.0550027,5.1241803,pub_28_1fc1b2b8
Type 2 diabetes progression: A regulatory network approach,"Barrera, M., Hiriart, M., Cocho, G., & Villarreal, C.","Chaos: An Interdisciplinary Journal of Nonlinear Science, 30(9), 093132",2020,10.1063/5.0011125,33003944,https://www.ifc.unam.mx/publicacion.php?ut=000573926300005,True,1213,29,6.3086047,5.000793,pub_29_d619afc8
Interaction of MDIMP with the Voltage-Gated Calcium Channels,"De La Rosa, J. A. M., García-Castañeda, M., Nishigaki, T., Gómora, J. C., Mancilla-Percino, T., & Ávila, G.","Molecular Pharmacology, 98(3), 211?221",2020,10.1124/mol.120.119982,32587097,https://www.ifc.unam.mx/publicacion.php?ut=000571819800006,True,2275,30,4.0109615,6.5939302,pub_30_d9d4cf0f
An Intronic Alu Element Attenuates the Transcription of a Long Non-coding RNA in Human Cell Lines,"Pérez-Molina, R., Arzate-Mejía, R. G., Ayala-Ortega, E., Guerrero, G., Meier, K., Suaste-Olmos, F., & Recillas-Targa, F.","Frontiers in Genetics, 11",2020,10.3389/fgene.2020.00928,33061937,https://www.ifc.unam.mx/publicacion.php?ut=000570668100001,True,123,31,3.1357605,2.3656104,pub_31_f2531a49
Protein-conformational diseases in childhood: Naturally-occurring hIAPP amyloid-oligomers and early ?-cell damage in obesity and diabetes,"Altamirano-Bustamante, N. F., Garrido-Magaña, E., Morán, E., Calderón, A., Pasten-Hidalgo, K., Castillo-Rodríguez, R. A., ? Altamirano-Bustamante, M. M.","PLOS ONE, 15(8), e0237667",2020,10.1371/journal.pone.0237667,32833960,https://www.ifc.unam.mx/publicacion.php?ut=000565550400008,True,782,32,6.5191426,5.0152826,pub_32_245c3b27
Molecular Effects of Silver Nanoparticles on Monogenean Parasites: Lessons from Caenorhabditis elegans,"Pimentel-Acosta, C. A., Ramírez-Salcedo, J., Morales-Serna, F. N., Fajer-Ávila, E. J., Chávez-Sánchez, C., Lara, H. H., & García-Gasca, A.","International Journal of Molecular Sciences, 21(16), 5889",2020,10.3390/ijms21165889,32824343,https://www.ifc.unam.mx/publicacion.php?ut=000565104600001,True,1081,33,2.9856548,1.9514853,pub_33_663ae0a9
In situ dissection of domain boundaries affect genome topology and gene transcription in Drosophila,"Arzate-Mejía, R. G., Josué Cerecedo-Castillo, A., Guerrero, G., Furlan-Magaril, M., & Recillas-Targa, F.","Nature Communications, 11(1)",2020,10.1038/s41467-020-14651-z,32060283,https://www.ifc.unam.mx/publicacion.php?ut=000564261700003,True,1176,34,3.374385,2.500593,pub_34_21e387e6
In Kluyveromyces lactis a Pair of Paralogous Isozymes Catalyze the First Committed Step of Leucine Biosynthesis in Either the Mitochondria or the Cytosol,"Aguirre-López, B., Escalera-Fanjul, X., Hersch-González, J., Rojas-Ortega, E., El-Hafidi, M., Lezama, M., ? González, A.","Frontiers in Microbiology, 11",2020,10.3389/fmicb.2020.01843,32849440,https://www.ifc.unam.mx/publicacion.php?ut=000563494200001,True,2140,35,2.1537113,4.1045384,pub_35_30c04a1a
Editorial: Germline Development: From Germline Stem Cells to Gametes,"Lee, M.-H., Navarro, R. E., & Han, S. M.","Frontiers in Cell and Developmental Biology, 8",2020,10.3389/fcell.2020.00650,32850795,https://www.ifc.unam.mx/publicacion.php?ut=000563212500001,True,94,36,4.5058136,1.6204805,pub_36_24175681
Native aggregation is a common feature among triosephosphate isomerases of different species,"Rodríguez-Bolaños, M., Miranda-Astudillo, H., Pérez-Castañeda, E., González-Halphen, D., & Perez-Montfort, R.","Scientific Reports, 10(1)",2020,10.1038/s41598-020-58272-4,31992784,https://www.ifc.unam.mx/publicacion.php?ut=000562863200001,True,1573,37,1.2136062,2.3598254,pub_37_6b932cd7
Kinetic modeling of glucose central metabolism in hepatocytes and hepatoma cells,"Marín-Hernández, Á., Gallardo-Pérez, J. C., Reyes-García, M. A., Sosa-Garrocho, M., Macías-Silva, M., Rodríguez-Enríquez, S., ? Saavedra, E.","Biochimica et Biophysica Acta (BBA) - General Subjects, 1864(11), 129687",2020,10.1016/j.bbagen.2020.129687,32712171,https://www.ifc.unam.mx/publicacion.php?ut=000561477600008,True,318,38,5.084858,4.390889,pub_38_e03bf3a7
Regulation and action of interferon-stimulated gene 15 in breast cancer cells,"Tecalco-Cruz, A. C., Ramírez-Jarquín, J. O., & Cruz-Ramos, E.","Human Cell, 33(4), 954?962",2020,10.1007/s13577-020-00414-x,32813218,https://www.ifc.unam.mx/publicacion.php?ut=000561026900002,True,761,39,4.0538816,1.7962989,pub_39_6a7d46d3
Chaperone activity of large-size subunit catalases,"Nava-Ramírez, T., & Hansberg, W.","Free Radical Biology and Medicine, 156, 99?106",2020,10.1016/j.freeradbiomed.2020.05.020,32502516,https://www.ifc.unam.mx/publicacion.php?ut=000560135700004,True,1364,40,1.4609376,3.0785534,pub_40_d8b5afd3
"The enzymatic poly(gallic acid) reduces pro-inflammatory cytokines in vitro, a potential application in inflammatory diseases","Zamudio-Cuevas, Y., Andonegui-Elguera, M. A., Aparicio-Juárez, A., Aguillón-Solís, E., Martínez-Flores, K., Ruvalcaba-Paredes, E., ? Sánchez-Sánchez, R.","Inflammation, 44(1), 174?185",2020,10.1007/s10753-020-01319-5,32803665,https://www.ifc.unam.mx/publicacion.php?ut=000559950500001,True,1384,41,4.335504,0.9252503,pub_41_89f904d7
The Transcription Factor SCX is a Potential Serum Biomarker of Fibrotic Diseases,"Ramírez-Aragón, M., Hernández-Sánchez, F., Rodríguez-Reyna, T. S., Buendía-Roldán, I., Güitrón-Castillo, G., Núñez-Alvarez, C. A., ? Mendoza-Milla, C.","International Journal of Molecular Sciences, 21(14), 5012",2020,10.3390/ijms21145012,32708589,https://www.ifc.unam.mx/publicacion.php?ut=000557153800001,True,1551,42,3.8236105,0.74363285,pub_42_9aa6b080
Neuroprotective Effects and Treatment Potential of Incretin Mimetics in a Murine Model of Mild Traumatic Brain Injury,"Bader, M., Li, Y., Tweedie, D., Shlobin, N. A., Bernstein, A., Rubovitch, V., ? Pick, C. G.","Frontiers in Cell and Developmental Biology, 7",2020,10.3389/fcell.2019.00356,31998717,https://www.ifc.unam.mx/publicacion.php?ut=000556753400001,True,2482,43,6.1835823,3.6997876,pub_43_ec544a1b
Deamidated Human Triosephosphate Isomerase is a Promising Druggable Target,"Enríquez-Flores, S., Flores-López, L. A., García-Torres, I., de la Mora-de la Mora, I., Cabrera, N., Gutiérrez-Castrellón, P., ? López-Velázquez, G.","Biomolecules, 10(7), 1050",2020,10.3390/biom10071050,32679775,https://www.ifc.unam.mx/publicacion.php?ut=000556451800001,True,1607,44,1.7298794,1.9631943,pub_44_e390fb35
FiRES: A computational method for the de novo identification of internal structure similarity in proteins,"Alvarez?Carreño, C., Coello, G., & Arciniega, M.","Proteins: Structure, Function, and Bioinformatics, 88(9), 1169?1179",2020,10.1002/prot.25886,32112578,https://www.ifc.unam.mx/publicacion.php?ut=000554488200005,True,1557,45,2.2721565,1.5882391,pub_45_de02830c
Regulation of Cas9 by viral proteins Tat and Rev for HIV-1 inactivation,"Vergara-Mendoza, M., Gomez-Quiroz, L. E., Miranda-Labra, R. U., Fuentes-Romero, L. L., Romero-Rodríguez, D. P., González-Ruiz, J., ? Viveros-Rogel, M.","Antiviral Research, 180, 104856",2020,10.1016/j.antiviral.2020.104856,32579898,https://www.ifc.unam.mx/publicacion.php?ut=000553379200017,True,1460,46,3.4303176,0.77746695,pub_46_7f4bc119
Caspase-3 Activation Correlates With the Initial Mitochondrial Membrane Depolarization in Neonatal Cerebellar Granule Neurons,"Benítez-Rangel, E., Olguín-Albuerne, M., López-Méndez, M. C., Domínguez-Macouzet, G., Guerrero-Hernández, A., & Morán, J.","Frontiers in Cell and Developmental Biology, 8",2020,10.3389/fcell.2020.00544,32714930,https://www.ifc.unam.mx/publicacion.php?ut=000553062200001,True,2478,47,5.165801,3.6069887,pub_47_708f6fd0
Contribution of the mitogen-activated protein kinase Hog1 to the halotolerance of the marine yeast Debaryomyces hansenii,"Sánchez, N. S., Calahorra, M., González, J., Defosse, T., Papon, N., Peña, A., & Coria, R.","Current Genetics, 66(6), 1135?1153",2020,10.1007/s00294-020-01099-3,32719935,https://www.ifc.unam.mx/publicacion.php?ut=000552915300001,True,1512,48,1.2299397,4.123345,pub_48_ab3be694
"Repurposed anti-cancer drugs: the future for anti-infective therapy? Expert Review of Anti-Infective Therapy, 18(7), 609?612","Quezada, H., Martínez-Vázquez, M., López-Jácome, E., González-Pedrajo, B., Andrade, Á., Fernández-Presas, A. M., ? García-Contreras, R.",doi:10,2020,10.1080/14787210.2020.1752665,32290720,https://www.ifc.unam.mx/publicacion.php?ut=000552851100001,True,150,49,2.9287064,1.2763487,pub_49_a1f06f88
In vivo Regeneration of Mineralized Bone Tissue in Anisotropic Biomimetic Sponges,"Serrano-Bello, J., Cruz-Maya, I., Suaste-Olmos, F., González-Alva, P., Altobelli, R., Ambrosio, L., ? Alvarez-Perez, M. A.","Frontiers in Bioengineering and Biotechnology, 8",2020,10.3389/fbioe.2020.00587,32775319,https://www.ifc.unam.mx/publicacion.php?ut=000552452800001,True,107,50,4.6858306,1.2909453,pub_50_bf40496d
Distinct subnetworks of the thalamic reticular nucleus,"Li, Y., Lopez-Huerta, V. G., Adiconis, X., Levandowski, K., Choi, S., Simmons, S. K., ? Feng, G.","Nature, 583(7818), 819?824",2020,10.1038/s41586-020-2504-5,32699411,https://www.ifc.unam.mx/publicacion.php?ut=000551401000002,True,1532,51,7.3604774,1.9673378,pub_51_727a9ffb
Protein?Protein Interactions Efficiently Modeled by Residue Cluster Classes,"Poot Velez, A. H., Fontove, F., & Del Rio, G.","International Journal of Molecular Sciences, 21(13), 4787",2020,10.3390/ijms21134787,32640745,https://www.ifc.unam.mx/publicacion.php?ut=000550330000001,True,1467,52,2.185029,1.5294415,pub_52_42e5f3d1
The induction and function of the anti-inflammatory fate of TH17 cells,"Xu, H., Agalioti, T., Zhao, J., Steglich, B., Wahib, R., Vesely, M. C. A., ? Gagliani, N.","Nature Communications, 11(1)",2020,10.1038/s41467-020-17097-5,32620760,https://www.ifc.unam.mx/publicacion.php?ut=000546623500034,True,924,53,3.8698368,0.246497,pub_53_2a6adf0f
Dual NMDAR signaling: flux?independent pH sensor and flux?dependent regulator of mitochondrial membrane potential (m??) and cell membrane?mitochondria bridging,"De Oca, P. M., & Hernandez-Cruz, A.","The FASEB Journal, 34(S1), 1?1",2020,10.1096/fasebj.2020.34.s1.00258,,https://www.ifc.unam.mx/publicacion.php?ut=000546107905290,True,185,54,3.0609686,4.225812,pub_54_ee04ab03
Living in a Foster Home: The Single Subpolar Flagellum Fla1 of Rhodobacter sphaeroides,"Camarena, L., & Dreyfus, G.","Biomolecules, 10(5), 774",2020,10.3390/biom10050774,32429424,https://www.ifc.unam.mx/publicacion.php?ut=000545013700111,True,1275,55,0.92444766,2.4912817,pub_55_76ca411c
Interaction Between Virus-Like Particles (VLPs) and Pattern Recognition Receptors (PRRs) From Dendritic Cells (DCs): Toward Better Engineering of VLPs,"Zepeda-Cervantes, J., Ramírez-Jarquín, J. O., & Vaca, L.","Frontiers in Immunology, 11",2020,10.3389/fimmu.2020.01100,32582186,https://www.ifc.unam.mx/publicacion.php?ut=000543849600001,True,1534,56,3.0143547,0.7065661,pub_56_72594d39
TRPV4: A Physio and Pathophysiologically Significant Ion Channel,"Rosenbaum, T., Benítez-Angeles, M., Sánchez-Hernández, R., Morales-Lázaro, S. L., Hiriart, M., Morales-Buenrostro, L. E., & Torres-Quiroz, F.","International Journal of Molecular Sciences, 21(11), 3837",2020,10.3390/ijms21113837,32481620,https://www.ifc.unam.mx/publicacion.php?ut=000543400300099,True,828,57,4.1800823,6.796395,pub_57_0b9cdd33
Negative feedback-loop mechanisms regulating HOG- and pheromone-MAPK signaling in yeast,"Vázquez-Ibarra, A., Rodríguez-Martínez, G., Guerrero-Serrano, G., Kawasaki, L., Ongay-Larios, L., & Coria, R.","Current Genetics, 66(5), 867?880",2020,10.1007/s00294-020-01089-5,32564133,https://www.ifc.unam.mx/publicacion.php?ut=000542663500001,True,1232,58,1.2503146,4.2083282,pub_58_0b5616bf
From cytosol to mitochondria: the beginning of a protein journey,"Avendaño-Monsalve, M. C., Ponce-Rojas, J. C., & Funes, S.","Biological Chemistry, 401(6-7), 645?661",2020,10.1515/hsz-2020-0110,32142476,https://www.ifc.unam.mx/publicacion.php?ut=000542162200002,True,1031,59,2.8716576,4.0656376,pub_59_d7274458
Hepatic C9 cells switch their behaviour in short or long exposure to soft substrates,"Cabriales, L., Hautefeuille, M., Vázquez?Victorio, G., Martinez?Pastor, D., Carretero?Ortega, J., Jiménez?Escobar, A., & Macias?Silva, M.","Biology of the Cell, 112(10), 265?279",2020,10.1111/boc.201900115,32449790,https://www.ifc.unam.mx/publicacion.php?ut=000541516800001,True,559,60,4.330914,1.4310954,pub_60_483c3524
The retinoid X receptor: a nuclear receptor that modulates the sleep-wake cycle in rats,"Murillo-Rodríguez, E., Millán-Aldaco, D., Arankowsky-Sandoval, G., Yamamoto, T., Cid, L., Monteiro, D., ? Torterolo, P.","Psychopharmacology, 237(7), 2055?2073",2020,10.1007/s00213-020-05518-8,32472163,https://www.ifc.unam.mx/publicacion.php?ut=000541340600013,True,467,61,7.0929456,3.4278984,pub_61_3f0d1921
Amphetamine sensitization alters hippocampal neuronal morphology and memory and learning behaviors,"Arroyo-García, L. E., Tendilla-Beltrán, H., Vázquez-Roque, R. A., Jurado-Tapia, E. E., Díaz, A., Aguilar-Alonso, P., ? Flores, G.",Molecular Psychiatry,2020,10.1038/s41380-020-0809-2,32555421,https://www.ifc.unam.mx/publicacion.php?ut=000540927200003,True,1533,62,7.8885584,3.043475,pub_62_e987b90e
Functional characterization of the mitochondrial uncoupling proteins from the white shrimp Litopenaeus vannamei,"Mendez-Romero, O., Rodriguez-Armenta, C., Uribe-Carvajal, S., & Muhlia-Almazan, A.","Biochimica et Biophysica Acta (BBA) - Bioenergetics, 1861(8), 148209",2020,10.1016/j.bbabio.2020.148209,32305415,https://www.ifc.unam.mx/publicacion.php?ut=000540842000008,True,1899,63,2.0788596,3.7174697,pub_63_3e05a5b3
Pexophagy modes during penicillin biosynthesis in Penicillium rubens P2-32-T,"Campos, C., Lázaro-Rodríguez, T. G., Hernández-Pérez, E., Rincón-Heredia, R., & Fernández, F. J.","Archives of Microbiology, 202(8), 2337?2341",2020,10.1007/s00203-020-01939-3,32533208,https://www.ifc.unam.mx/publicacion.php?ut=000539900600002,True,792,64,1.221199,3.625191,pub_64_19dbc8a1
"TRPV1: Structure, Endogenous Agonists, and Mechanisms","Benítez-Angeles, M., Morales-Lázaro, S. L., Juárez-González, E., & Rosenbaum, T.","International Journal of Molecular Sciences, 21(10), 3421",2020,10.3390/ijms21103421,32408609,https://www.ifc.unam.mx/publicacion.php?ut=000539312100017,True,712,65,4.336531,6.7508845,pub_65_185c9fb6
KV1,"Suárez-Delgado, E., Rangel-Sandín, T. G., Ishida, I. G., Rangel-Yescas, G. E., Rosenbaum, T., & Islas, L. D.",2 channels inactivate through a mechanism similar to C-type inactivation,2020,10.1085/jgp.201912499,32110806,https://www.ifc.unam.mx/publicacion.php?ut=000538137400002,True,1130,66,3.781142,6.979517,pub_66_a9cffbd1
Canonical and non-canonical Wnt signaling are simultaneously activated by Wnts in colon cancer cells,"Flores-Hernández, E., Velázquez, D. M., Castañeda-Patlán, M. C., Fuentes-García, G., Fonseca-Camarillo, G., Yamamoto-Furusho, J. K., ? Robles-Flores, M.","Cellular Signalling, 72, 109636",2020,10.1016/j.cellsig.2020.109636,32283254,https://www.ifc.unam.mx/publicacion.php?ut=000537756100017,True,2046,67,4.0099225,1.7651061,pub_67_b5c26042
Novel tephritid-specific features revealed from cytological and transcriptomic analysis of Anastrepha ludens embryonic development,"Gutiérrez-Ramos, X., Vázquez, M., Dorantes-Acosta, A. E., Díaz-Fleischer, F., Peralta-Alvarez, C. A., Nuñez-Martínez, H. N., ? Zurita, M.","Insect Biochemistry and Molecular Biology, 122, 103412",2020,10.1016/j.ibmb.2020.103412,32417415,https://www.ifc.unam.mx/publicacion.php?ut=000537570800014,True,1881,68,3.1636093,2.5025406,pub_68_0b979c9f
